repo_full_name,path,html_url
hxwxdmhd/noxsuite-security-platform,k8s/hpa.yaml,https://github.com/hxwxdmhd/noxsuite-security-platform/blob/fd4224e8b6d32f5d7c3423efb4b121643733998d/k8s/hpa.yaml
hxwxdmhd/noxsuite-security-platform,NoxPanel_Suite_WIP/Docker & Config/k8s/hpa.yaml,https://github.com/hxwxdmhd/noxsuite-security-platform/blob/fd4224e8b6d32f5d7c3423efb4b121643733998d/NoxPanel_Suite_WIP/Docker%20&%20Config/k8s/hpa.yaml
simstudioai/sim,helm/sim/templates/hpa.yaml,https://github.com/simstudioai/sim/blob/174f6a48a60e668241d73b104a7ba0e3997bdc04/helm/sim/templates/hpa.yaml
Azure/draft,template/manifests/HorizontalPodAutoscaler/manifests/draft.yaml,https://github.com/Azure/draft/blob/129e1050cc4ffeca444278d4abdd573ca4372eac/template/manifests/HorizontalPodAutoscaler/manifests/draft.yaml
DataDog/documentation,static/resources/yaml/observability_pipelines/datadog/google_gke_rc.yaml,https://github.com/DataDog/documentation/blob/f8b8c8618e98c6c260c291bf6f3f9b9de305e245/static/resources/yaml/observability_pipelines/datadog/google_gke_rc.yaml
kubernetes/kubernetes,hack/golangci-hints.yaml,https://github.com/kubernetes/kubernetes/blob/62e9524c8514c888325e5cf7d8e6035a91b86e31/hack/golangci-hints.yaml
tengqm/kab,kubernetes/1.28cn/ops/listAutoscalingV2NamespacedHorizontalPodAutoscaler.yaml,https://github.com/tengqm/kab/blob/1b2f3cdcc1aee955af3ab2381481c8d7d8a785bb/kubernetes/1.28cn/ops/listAutoscalingV2NamespacedHorizontalPodAutoscaler.yaml
apache/incubator-kie-tools,packages/kie-sandbox-helm-chart/src/charts/cors_proxy/values.yaml,https://github.com/apache/incubator-kie-tools/blob/244067f7313968994512607ba1970e30f31045af/packages/kie-sandbox-helm-chart/src/charts/cors_proxy/values.yaml
iamsamitdev/K8SBasicAfter,hpa-v2.yaml,https://github.com/iamsamitdev/K8SBasicAfter/blob/dbebd4332953a5b463a6fa670a841a72d1a2fd2b/hpa-v2.yaml
dev9913/Proshop,k8s/frontend/frontend-hpa.yml,https://github.com/dev9913/Proshop/blob/a4b5d549cb3d488c0257ca29fd97b1dd219af15e/k8s/frontend/frontend-hpa.yml
VGuimaraes5/fiap-restaurant-producao-ms,Cluster/kubernets/api.template.yml,https://github.com/VGuimaraes5/fiap-restaurant-producao-ms/blob/16fb63b59763cd98ad83491cea9555453d8a81ae/Cluster/kubernets/api.template.yml
polyaxon/charts,agent/templates/gateway-hpa.yaml,https://github.com/polyaxon/charts/blob/7bf0d1801134e3541bd226e482f9c580fcaf15c3/agent/templates/gateway-hpa.yaml
thc1006/nephoran-intent-operator,deployments/multi-region/region-deployment-template.yaml,https://github.com/thc1006/nephoran-intent-operator/blob/efaa297c804044f060e2967fe864ad4f7b1f2c68/deployments/multi-region/region-deployment-template.yaml
nats-io/k8s,helm/charts/surveyor/templates/hpa.yaml,https://github.com/nats-io/k8s/blob/e136d0498cf9e31711b1d8d9c6a733a5414bdda2/helm/charts/surveyor/templates/hpa.yaml
cogitoergosumsw/speechlab-aims-kaldi-aks,reference/hpa/worker-hpa.yml,https://github.com/cogitoergosumsw/speechlab-aims-kaldi-aks/blob/33ee96629709e867f5c20a86cfbee42b6727856e/reference/hpa/worker-hpa.yml
hey101/scale-catalog,stable/ser2sock/12.3.0/questions.yaml,https://github.com/hey101/scale-catalog/blob/90b805c3f2199ab5a459631bc7762b74d343d432/stable/ser2sock/12.3.0/questions.yaml
steblynskyi/infrastructure,environments/prod/kubernetes/services/integrations/lightspeed-public-api.yaml,https://github.com/steblynskyi/infrastructure/blob/848f142d2b165296193a03a6245c0d14b013a3f6/environments/prod/kubernetes/services/integrations/lightspeed-public-api.yaml
drewpayment/hoytlabs-talos,backup/argocd-cm-backup.yaml,https://github.com/drewpayment/hoytlabs-talos/blob/c48b1ae65af6cf240afaf5fcec6cbbefd20750c2/backup/argocd-cm-backup.yaml
itdojp/ITDO_ERP2,infra/k8s/ingress-nginx.yaml,https://github.com/itdojp/ITDO_ERP2/blob/953b0f971e63d1e446686c89aba8be1299442e14/infra/k8s/ingress-nginx.yaml
k8s-operatorhub/community-operators,operators/bookkeeper-operator/0.17.9/manifests/bookkeeper-operator.clusterserviceversion.yaml,https://github.com/k8s-operatorhub/community-operators/blob/d222a0312cd88408cdae3680700c41a80277a4f9/operators/bookkeeper-operator/0.17.9/manifests/bookkeeper-operator.clusterserviceversion.yaml
ruan-oliveira/release2-6,charts/gluu/gluu/5.0.101/charts/config-api/values.yaml,https://github.com/ruan-oliveira/release2-6/blob/f172c48918062fa58f8330e6ca4c9643093d3983/charts/gluu/gluu/5.0.101/charts/config-api/values.yaml
lazact/hypersharp,Enterprise-RAG/deployment/components/gmc/microservices-connector/config/manifests/out-guard-usvc.yaml,https://github.com/lazact/hypersharp/blob/3c3225df8fd0c79f9763f74ac93f8e6b3fc0dd14/Enterprise-RAG/deployment/components/gmc/microservices-connector/config/manifests/out-guard-usvc.yaml
toolchainlabs/toolchain-oss,prod/helm/devops/toolchain-remote-exec-workers/templates/autoscaler.yaml,https://github.com/toolchainlabs/toolchain-oss/blob/4473d98f29214fbc37763638d89fb28c81945637/prod/helm/devops/toolchain-remote-exec-workers/templates/autoscaler.yaml
