repo_full_name,Owner,Project,File Path,apiVersion,Is Helm Template,Has Behavior,raw_length,Metric Type,Metric Name,HPAClass
danehans/service-mesh-for-less-blog,danehans,service-mesh-for-less-blog,tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
danehans/service-mesh-for-less-blog,danehans,service-mesh-for-less-blog,tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
danehans/service-mesh-for-less-blog,danehans,service-mesh-for-less-blog,tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
danehans/service-mesh-for-less-blog,danehans,service-mesh-for-less-blog,tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
danehans/service-mesh-for-less-blog,danehans,service-mesh-for-less-blog,tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,autoscaling/v2,False,False,2221,Resource,cpu,UNKNOWN
Dar-Blockchain/talentai,Dar-Blockchain,talentai,frontend-deployment.yaml,autoscaling/v2,False,False,1300,Resource,cpu,UNKNOWN
pepperyfaithf/ifconfig.me,pepperyfaithf,ifconfig.me,k8s/20-hpa.yaml,autoscaling/v2,False,False,363,Resource,cpu,UNKNOWN
rytswd/get-istio-multicluster,rytswd,get-istio-multicluster,clusters/dolphin/istio/installation/generated-manifests/1.9.5/full-installation/istio-external-gateways-install.yaml,autoscaling/v2beta1,False,False,21338,Resource,cpu,LARGE_YAML
rytswd/get-istio-multicluster,rytswd,get-istio-multicluster,clusters/dolphin/istio/installation/generated-manifests/1.9.5/full-installation/istio-external-gateways-install.yaml,autoscaling/v2beta1,False,False,21338,Resource,cpu,LARGE_YAML
bmuschko/cka-study-guide,bmuschko,cka-study-guide,app-a/ch12/auto-scaling/nginx-hpa.yaml,autoscaling/v2,False,False,457,Resource,cpu,UNKNOWN
bmuschko/cka-study-guide,bmuschko,cka-study-guide,app-a/ch12/auto-scaling/nginx-hpa.yaml,autoscaling/v2,False,False,457,Resource,memory,UNKNOWN
TomSpencerLondon/kubernetes-bootcamp,TomSpencerLondon,kubernetes-bootcamp,13-deployment-horizontal-pod-autoscaler/solution/nginx-hpa.yaml,autoscaling/v2,False,False,457,Resource,cpu,UNKNOWN
TomSpencerLondon/kubernetes-bootcamp,TomSpencerLondon,kubernetes-bootcamp,13-deployment-horizontal-pod-autoscaler/solution/nginx-hpa.yaml,autoscaling/v2,False,False,457,Resource,memory,UNKNOWN
vishymails/ckad-feb2025,vishymails,ckad-feb2025,13-deployment-horizontal-pod-autoscaler/solution/nginx-hpa.yaml,autoscaling/v2,False,False,457,Resource,cpu,UNKNOWN
vishymails/ckad-feb2025,vishymails,ckad-feb2025,13-deployment-horizontal-pod-autoscaler/solution/nginx-hpa.yaml,autoscaling/v2,False,False,457,Resource,memory,UNKNOWN
saranraj-git/CKAD_Training,saranraj-git,CKAD_Training,2-Application_Deployment/12-deployment-horizontal-pod-autoscaler/solution/nginx-hpa.yaml,autoscaling/v2,False,False,457,Resource,cpu,UNKNOWN
saranraj-git/CKAD_Training,saranraj-git,CKAD_Training,2-Application_Deployment/12-deployment-horizontal-pod-autoscaler/solution/nginx-hpa.yaml,autoscaling/v2,False,False,457,Resource,memory,UNKNOWN
